sample,n_months,leg,metric,value_pct,t_stat
Paper LPS 2019 (1993-2013),252,night,excess,3.47,16.57
Paper LPS 2019 (1993-2013),252,night,capm,3.42,16.57
Paper LPS 2019 (1993-2013),252,night,3f,3.47,16.83
Paper LPS 2019 (1993-2013),252,day,excess,-3.24,-9.34
Paper LPS 2019 (1993-2013),252,day,capm,-3.3,-9.0
Paper LPS 2019 (1993-2013),252,day,3f,-3.02,-9.74
Block A (2003-10~2013-12),122,night,excess,2.4848581184264114,9.60785730875729
Block A (2003-10~2013-12),122,night,capm,2.5641835577552734,9.9518532647486
Block A (2003-10~2013-12),122,night,3f,2.5462392022752747,10.940195321857919
Block A (2003-10~2013-12),122,day,excess,-1.5784393059115671,-5.931826644377039
Block A (2003-10~2013-12),122,day,capm,-1.494055384633678,-5.373198180363771
Block A (2003-10~2013-12),122,day,3f,-1.5092970077058334,-6.014943565151465
Block B (2014-01~2024-12),131,night,excess,0.45896650883872314,1.8277175419451275
Block B (2014-01~2024-12),131,night,capm,0.5836889756580468,2.495605197729089
Block B (2014-01~2024-12),131,night,3f,0.5773488527843329,2.31015875918544
Block B (2014-01~2024-12),131,day,excess,-0.7884720961423018,-3.0447095849961565
Block B (2014-01~2024-12),131,day,capm,-0.8104681123171081,-3.9013527689059493
Block B (2014-01~2024-12),131,day,3f,-0.8471189593735196,-3.819402609346873
