anomaly,paper_night_alpha,paper_night_t,paper_day_alpha,paper_day_t,A_night_alpha,A_night_t,A_day_alpha,A_day_t,B_night_alpha,B_night_t,B_day_alpha,B_day_t,night_status_B,day_status_B,paper_tug,A_tug,B_tug,paper_cc,A_cc,B_cc
CRSP,0.550,3.620,0.380,1.870,0.837,3.142,0.655,2.604,1.261,4.062,0.469,2.343,SURVIVED,EMERGED,0.170,0.182,0.792,0.930,1.492,1.730
ME,0.110,0.750,0.430,1.850,0.020,0.112,1.750,6.612,0.147,0.794,0.893,2.489,weak both,EMERGED,-0.320,-1.730,-0.746,0.540,1.770,1.040
BM,-0.100,-0.670,0.480,2.210,0.307,1.172,-0.044,-0.116,-0.224,-0.607,-0.209,-0.936,weak both,DECAYED,-0.580,0.351,-0.015,0.380,0.263,-0.433
MOM,0.980,3.840,-0.020,-0.060,0.810,1.507,-0.682,-1.904,1.062,3.584,-0.576,-2.192,SURVIVED,EMERGED,1.000,1.492,1.638,0.960,0.128,0.486
SUE,0.560,3.200,0.210,0.700,0.369,1.716,-0.003,-0.019,0.275,1.580,0.282,1.947,DECAYED,weak both,0.350,0.372,-0.007,0.770,0.366,0.557
INDMOM,1.070,6.470,-0.630,-2.030,0.958,3.980,-0.614,-1.796,1.016,5.399,-0.296,-1.068,SURVIVED,DECAYED,1.700,1.572,1.312,0.440,0.344,0.720
ROE,-0.950,-6.250,1.420,5.580,-0.319,-1.008,0.743,4.313,0.240,1.016,0.561,2.146,DECAYED,SURVIVED,-2.370,-1.062,-0.321,0.470,0.424,0.801
INV,-0.280,-2.100,0.970,4.390,-0.169,-1.389,0.243,1.712,0.070,0.200,0.064,0.232,DECAYED,DECAYED,-1.250,-0.412,0.006,0.690,0.074,0.134
BETA,-0.490,-2.170,0.700,2.400,-1.236,-3.877,2.011,4.598,-0.363,-1.025,1.204,3.165,DECAYED,SURVIVED,-1.190,-3.247,-1.567,0.210,0.775,0.841
IVOL,-1.460,-5.230,2.480,6.210,-1.145,-3.504,1.099,2.904,-0.316,-0.710,0.638,2.089,DECAYED,SURVIVED,-3.940,-2.244,-0.954,1.020,-0.046,0.322
ISSUE,-0.520,-3.270,1.130,6.130,-0.464,-3.444,0.751,3.807,0.441,1.725,-0.024,-0.095,DECAYED,DECAYED,-1.650,-1.215,0.465,0.610,0.287,0.417
ACCRUALS,-0.470,-3.250,1.100,4.730,0.300,1.823,-0.127,-0.573,0.182,0.684,-0.236,-1.497,DECAYED,DECAYED,-1.570,0.427,0.418,0.630,0.173,-0.054
TURNOVER,-0.290,-1.980,0.570,2.580,-1.081,-3.588,1.696,4.773,-0.924,-2.005,0.928,2.960,EMERGED,SURVIVED,-0.860,-2.777,-1.852,0.280,0.615,0.004
STR,0.930,4.280,-1.050,-3.250,-0.295,-1.495,-0.403,-1.265,-0.498,-1.637,-0.153,-0.593,DECAYED,DECAYED,1.980,0.108,-0.345,-0.120,-0.698,-0.651
