anomaly,paper_night_alpha,paper_night_t,paper_day_alpha,paper_day_t,A_night_alpha,A_night_t,A_day_alpha,A_day_t,B_night_alpha,B_night_t,B_day_alpha,B_day_t
CRSP,0.550,3.620,0.380,1.870,0.837,3.142,0.655,2.604,1.261,4.062,0.469,2.343
ME,0.110,0.750,0.430,1.850,0.020,0.112,1.750,6.612,0.147,0.794,0.893,2.489
BM,-0.100,-0.670,0.480,2.210,0.307,1.172,-0.044,-0.116,-0.224,-0.607,-0.209,-0.936
MOM,0.980,3.840,-0.020,-0.060,0.810,1.507,-0.682,-1.904,1.062,3.584,-0.576,-2.192
SUE,0.560,3.200,0.210,0.700,0.369,1.716,-0.003,-0.019,0.275,1.580,0.282,1.947
INDMOM,1.070,6.470,-0.630,-2.030,0.958,3.980,-0.614,-1.796,1.016,5.399,-0.296,-1.068
ROE,-0.950,-6.250,1.420,5.580,-0.319,-1.008,0.743,4.313,0.240,1.016,0.561,2.146
INV,-0.280,-2.100,0.970,4.390,-0.169,-1.389,0.243,1.712,0.070,0.200,0.064,0.232
BETA,-0.490,-2.170,0.700,2.400,-1.236,-3.877,2.011,4.598,-0.363,-1.025,1.204,3.165
IVOL,-1.460,-5.230,2.480,6.210,-1.145,-3.504,1.099,2.904,-0.316,-0.710,0.638,2.089
ISSUE,-0.520,-3.270,1.130,6.130,-0.464,-3.444,0.751,3.807,0.441,1.725,-0.024,-0.095
ACCRUALS,-0.470,-3.250,1.100,4.730,0.300,1.823,-0.127,-0.573,0.182,0.684,-0.236,-1.497
TURNOVER,-0.290,-1.980,0.570,2.580,-1.081,-3.588,1.696,4.773,-0.924,-2.005,0.928,2.960
STR,0.930,4.280,-1.050,-3.250,-0.295,-1.495,-0.403,-1.265,-0.498,-1.637,-0.153,-0.593
